source ,target
Buah,Tani Hub
Buah,Petani
Buah,Pantau Harga
Buah,Lima Kilo
Buah,Target
Bumbu Dapur ,Tani Hub
Bumbu Dapur ,Petani
Bumbu Dapur ,Pantau Harga
Bumbu Dapur ,Lima Kilo
Bumbu Dapur ,Target
Sayuran,Tani Hub
Sayuran,Petani
Sayuran,Pantau Harga
Sayuran,Lima Kilo
Sayuran,Target
Pestisida,Tani Hub
Pestisida,Petani
Pestisida,Pantau Harga
Pestisida,Lima Kilo
Pestisida,Target
Benih,Tani Hub
Benih,Petani
Benih,Pantau Harga
Benih,Lima Kilo
Benih,Target
Pupuk,Tani Hub
Pupuk,Petani
Pupuk,Pantau Harga
Pupuk,Lima Kilo
Pupuk,Target
Beras,Tani Hub
Beras,Petani
Beras,Pantau Harga
Beras,Lima Kilo
Beras,Target
Perlengkapan pertanian,Tani Hub
Perlengkapan pertanian,Petani
Perlengkapan Pertanian,Pantau Harga
Perlengkapan Pertanian,Lima Kilo
Perlengkapan Pertanian,Target
Pestisida,Tani Hub
Pestisida,Petani
Pestisida,Pantau Harga
Pestisida,Lima Kilo
Pestisida,Target
Rempah,Tani Hub
Rempah,Petani
Rempah,Pantau Harga
Rempah,Lima Kilo
Rempah,Target
